Регион таргетинга;Показы;Клики;Расход (руб.);Конверсия (%);Цена цели (руб.);Конверсии
Славянский район (более точно регион не определён);102;4;63,23;-;-;-
Сланцевский район (более точно регион не определён);33;1;6,39;-;-;-
Сланцы;198;4;27,64;-;-;-
Смоленск;3720;76;2065,66;-;-;-
Смоленская область (более точно регион не определён);2274;54;872,34;-;-;-
Снежинск;430;12;178,36;-;-;-
Советск;264;3;74,73;-;-;-
Соликамск;550;5;153,07;-;-;-
Солнечногорск;610;18;250,62;-;-;-
Солнечногорский район (более точно регион не определён);1794;43;738,8;-;-;-
Сортавала;239;2;61,84;-;-;-
Сортавальский район (более точно регион не определён);11;0;0;-;-;-
Сосновый Бор;713;10;217,79;-;-;-
Сочи;9375;206;4970,15;3,4;710,02;7
Спасск-Дальний;215;2;21,46;-;-;-
Ставрополь;7457;154;2979,56;-;-;-
Ставропольский край (более точно регион не определён);7103;126;2475,61;0,79;2475,61;1
Старая Купавна;192;7;188,1;-;-;-
Старая Русса;301;4;41,04;-;-;-
Старорусский район (более точно регион не определён);22;0;0;-;-;-
Старый Оскол;1657;24;534,56;4,17;534,56;1
Стерлитамак;1706;62;1851,31;-;-;-
Стрежевой;140;3;90,94;33,33;90,94;1
Строитель;219;5;68,58;-;-;-
Ступино;535;15;355,86;-;-;-
Судак;286;6;133,03;-;-;-
Сургут;3416;62;1399,55;1,61;1399,55;1
Сурхандарьинская область (более точно регион не определён);14;1;22,59;-;-;-
Сызрань;1203;20;319,71;-;-;-
Сыктывкар;4782;111;2851,71;0,9;2851,71;1
Сырдарьинская область;10;0;0;-;-;-
Таганрог;3869;69;1469,76;-;-;-
Таджикистан (более точно регион не определён);54092;164;1061,34;1,83;353,78;3
Тайшет;181;4;22,84;-;-;-
Тайшетский район (более точно регион не определён);68;1;24,8;-;-;-
Талгарский район;9416;54;542,61;1,85;542,61;1
Талдыкорган;14697;67;553,42;-;-;-
Алматы и область (более точно регион не определён);7179;35;320,13;-;-;-
Тамбов;4032;84;1829,08;-;-;-
Тамбовская область (более точно регион не определён);3048;43;914,66;2,33;914,66;1
Тараз;34138;132;1561,61;-;-;-
Тараз и Жамбылская область (более точно регион не определён);8602;27;298,73;-;-;-
Ташкент;639;44;1110,94;4,55;555,47;2
Ташкентская область (более точно регион не определён);42;3;136,19;-;-;-
Тверь;5979;105;2549,5;-;-;-
Тверская область (более точно регион не определён);2101;44;733,87;-;-;-
Темиртау;13064;67;590,27;-;-;-
Термез;5;0;0;-;-;-
Тимашевск;414;2;36,29;-;-;-
Тимашевский район (более точно регион не определён);155;4;35,5;-;-;-
Тихвин;331;4;69,18;-;-;-
Тихвинский район (более точно регион не определён);19;0;0;-;-;-
Тихорецк;707;19;666,52;-;-;-
Тихорецкий район (более точно регион не определён);220;3;24,46;-;-;-
Тобольск;580;14;259,3;-;-;-
Толебийский район;1178;2;38,73;-;-;-
Тольятти;7746;130;2316,88;-;-;-
Томск;5953;121;3069,37;0,83;3069,37;1
Томская область (более точно регион не определён);1186;16;376,99;-;-;-
Тосненский район (более точно регион не определён);579;18;253,35;-;-;-
Тосно;267;5;113,25;-;-;-
Троицк;356;17;459,95;5,88;459,95;1
Троицк;324;5;123,63;-;-;-
Туапсе;652;7;153,64;-;-;-
Туапсинский район (более точно регион не определён);772;17;449,19;5,88;449,19;1
Туймазинский район (более точно регион не определён);173;6;57,95;-;-;-
Туймазы;385;8;182,46;-;-;-
Тула;6341;126;2280,8;1,59;1140,4;2
Тульская область (более точно регион не определён);3730;80;1261,07;3,75;420,36;3
Тулун;134;5;29,37;-;-;-
Туркестан;7637;40;491,69;-;-;-
Туркестан и область (более точно регион не определён);6026;24;198,57;-;-;-
Тутаев;233;4;45,86;-;-;-
Тутаевский район (более точно регион не определён);83;1;1,25;-;-;-
Тында;190;5;87,05;-;-;-
Тюлькубасский район;1105;9;88,75;-;-;-
Тюмень;8416;187;4716,31;1,6;1572,1;3
Тюменская область (более точно регион не определён);2222;51;1340,2;1,96;1340,2;1
Углич;255;4;91,89;-;-;-
Угличский район (более точно регион не определён);68;2;16,22;-;-;-
Удмуртская Республика (более точно регион не определён);1971;42;772,44;-;-;-
Удомельский район (более точно регион не определён);21;0;0;-;-;-
Удомля;229;0;0;-;-;-
Узбекистан (более точно регион не определён);22;3;102,4;-;-;-
Улан-Удэ;3972;97;2078,74;-;-;-
Ульяновск;8851;149;3140,33;-;-;-
Ульяновская область (более точно регион не определён);1775;44;1131,01;-;-;-
Урай;420;9;339,9;22,22;169,95;2
Урал (более точно регион не определён);1092;18;121,96;-;-;-
Урюпинск;197;5;63,24;-;-;-
Усинск;408;4;72,99;-;-;-
Усолье-Сибирское;446;10;64,42;-;-;-
Уссурийск;771;10;424,3;-;-;-
Усть-Баргузин;7;0;0;-;-;-
Усть-Илимск;467;8;211,88;-;-;-
Усть-Каменогорск;48662;183;1481,23;1,09;740,61;2
Усть-Катав;199;4;49,65;-;-;-
Усть-Кут;423;2;39,04;-;-;-
Усть-Кутский район (более точно регион не определён);9;0;0;-;-;-
Уфа;15108;709;18981,09;1,41;1898,11;10
Ухта;1054;10;232,18;-;-;-
Учалинский район (более точно регион не определён);50;1;46,86;-;-;-
Учалы;204;13;154,43;-;-;-
Феодосия;1291;11;248,1;-;-;-
Фрязино;1411;61;1729,93;-;-;-
Хабаровск;5178;158;4043,07;1,27;2021,53;2
Хабаровский край (более точно регион не определён);1250;29;711,13;-;-;-
Ханты-Мансийск;1513;30;579,25;3,33;579,25;1
Ханты-Мансийский автономный округ - Югра (более точно регион не определён);2438;48;1163,12;2,08;1163,12;1
Хасавюрт;365;9;145,75;-;-;-
Химки;3489;99;1617,36;-;-;-
Ходжейли;12;0;0;-;-;-
Ходжейлийский район (более точно регион не определён);1;0;0;-;-;-
Хотьково;98;2;12,86;-;-;-
Центр (более точно регион не определён);1014;15;96,75;-;-;-
Чайковский;798;19;549;5,26;549;1
Чайковский район (более точно регион не определён);261;5;101,87;-;-;-
Чебаркуль;390;7;165,51;-;-;-
Чебоксары;4569;110;2520,97;0,91;2520,97;1
Челябинск;13945;301;7668,12;1,33;1917,03;4
Челябинская область (более точно регион не определён);3999;71;1248,73;1,41;1248,73;1
Черемхово;186;2;14,59;-;-;-
Череповец;2924;55;1085,28;1,82;1085,28;1
Черкесск;1484;36;884,31;-;-;-
Черноголовка;294;9;96,93;-;-;-
Чехов;649;12;165,95;-;-;-
Чеченская Республика (более точно регион не определён);683;14;292,09;-;-;-
Чирчик;12;0;0;-;-;-
Чистополь;223;6;108,92;-;-;-
Чита;4161;79;1381,13;-;-;-
Чувашская Республика (более точно регион не определён);1448;34;783,29;2,94;783,29;1
Шадринск;406;6;205,7;16,67;205,7;1
Шардаринский район;354;1;3,3;-;-;-
Шатура;143;3;8,65;-;-;-
Шахты;1464;24;547,7;-;-;-
Шебекино;166;2;57,15;-;-;-
Шебекинский район (более точно регион не определён);177;2;8,65;-;-;-
Шумерля;111;9;61,94;-;-;-
Шуя;270;4;66,58;-;-;-
Шымкент;61247;293;3109,42;2,05;518,24;6
Щербинка;388;15;363,6;6,67;363,6;1
Щёлкино;128;2;6,36;-;-;-
Щёлково;1201;21;378,92;-;-;-
Щёлковский район (более точно регион не определён);802;17;510,52;-;-;-
Экибастуз;9374;42;373,98;4,76;186,99;2
Электросталь;1268;24;596,47;-;-;-
Электроугли;87;3;145,8;-;-;-
Элиста;1087;27;592,33;-;-;-
Энгельс;2225;30;587,88;-;-;-
Энгельсский район (более точно регион не определён);284;3;86,04;-;-;-
Югорск;594;9;226,93;-;-;-
Южно-Сахалинск;2684;63;1546,67;-;-;-
Сахалинская область (более точно регион не определён);1594;20;360,73;-;-;-
Южноуральск;163;3;40,01;-;-;-
Юг (более точно регион не определён);643;9;113,42;-;-;-
Юрга;285;7;137,07;-;-;-
Яковлевский район (более точно регион не определён);124;2;5,32;-;-;-
Якутск;3231;70;2076,45;2,86;1038,22;2
Ялта;1800;27;461,11;-;-;-
Ялуторовск;358;11;185,13;-;-;-
Ямало-Ненецкий автономный округ (более точно регион не определён);1305;34;856,39;-;-;-
Ярославль;7534;165;2753,01;1,21;1376,51;2
Ярославская область (более точно регион не определён);2733;52;992,71;-;-;-
Ярцево;312;6;232,41;-;-;-
Ярцевский район (более точно регион не определён);55;1;48,11;-;-;-
