Регион таргетинга;Показы;Клики;Расход (руб.);Конверсия (%);Цена цели (руб.);Конверсии
Выборгский район (более точно регион не определён);1121;23;690,36;-;-;-
Выкса;382;2;74,72;-;-;-
Вышний Волочёк;276;8;84,84;-;-;-
Вяземский район (более точно регион не определён);65;2;11,67;-;-;-
Вязьма;232;9;123,45;-;-;-
Вятские Поляны;266;6;50,53;-;-;-
Гагарин;168;3;80,85;-;-;-
Гагаринский район (более точно регион не определён);78;2;4,65;-;-;-
Гай;237;1;12,06;-;-;-
Гатчина;1003;19;474,79;-;-;-
Гатчинский район (более точно регион не определён);1000;22;499,3;-;-;-
Геленджик;2192;45;1115,66;2,22;1115,66;1
Георгиевск;758;9;122,71;-;-;-
Глазов;697;11;121,81;-;-;-
Голицыно;213;8;107,86;-;-;-
Горно-Алтайск;551;15;285,57;-;-;-
Богородский (городской округ) (более точно регион не определён);809;22;530,84;-;-;-
Егорьевск (городской округ) (более точно регион не определён);100;2;46,21;-;-;-
Зарайск (городской округ) (более точно регион не определён);18;0;0;-;-;-
Истра (городской округ) (более точно регион не определён);1672;39;1035,14;-;-;-
Кашира (городской округ) (более точно регион не определён);37;3;80,13;-;-;-
Клин (городской округ) (более точно регион не определён);269;4;84,64;-;-;-
Красногорск (городской округ) (более точно регион не определён);1317;34;867,97;-;-;-
Луховицы (городской округ) (более точно регион не определён);50;0;0;-;-;-
Люберцы (городской округ) (более точно регион не определён);1515;37;734,11;-;-;-
Можайский (городской округ) (более точно регион не определён);288;11;111,4;-;-;-
Мытищи (городской округ) (более точно регион не определён);1139;36;985,03;5,56;492,51;2
Павловский Посад (городской округ) (более точно регион не определён);131;3;28,82;-;-;-
Ступино (городской округ) (более точно регион не определён);343;7;130,74;-;-;-
Чехов (городской округ) (более точно регион не определён);771;13;382,02;-;-;-
Шатура (городской округ) (более точно регион не определён);252;11;69,39;-;-;-
Грозный;1895;47;1169,16;-;-;-
Губкин;762;15;352,8;6,67;352,8;1
Губкинский;297;7;239,3;-;-;-
Гуково;176;5;74,4;-;-;-
Гусь-Хрустальный;396;8;75,23;-;-;-
Гюмри;11;3;65,78;-;-;-
Дальний Восток (более точно регион не определён);282;2;43,96;-;-;-
Дальнегорск;130;3;53,14;-;-;-
Дедовск;209;3;25,64;-;-;-
Денау;3;0;0;-;-;-
Денауский район (более точно регион не определён);4;0;0;-;-;-
Дербент;444;5;80,9;-;-;-
Джанкой;291;0;0;-;-;-
Джизак;21;3;31,09;-;-;-
Джизакская область (более точно регион не определён);6;0;0;-;-;-
Дзержинск (Нижегородская область);2198;34;555,07;-;-;-
Дзержинский;475;13;317,45;-;-;-
Димитровград;1256;26;309,1;-;-;-
Дмитров;595;25;495,51;-;-;-
Дмитровский городской округ (более точно регион не определён);1179;29;883,24;-;-;-
Долгопрудный;959;22;606,46;-;-;-
Домодедово;1577;37;657,51;-;-;-
Дубна;1097;32;744,52;6,25;372,26;2
Душанбе;78;1;12,09;-;-;-
Евпатория;2221;51;1034,53;1,96;1034,53;1
Еврейская автономная область (более точно регион не определён);189;4;94,21;-;-;-
Егорьевск;427;3;53,86;-;-;-
Ейск;980;17;215,98;-;-;-
Ейский район (более точно регион не определён);225;5;99,43;-;-;-
Екатеринбург;25438;601;15501,65;1,83;1409,24;11
Свердловская область (более точно регион не определён);7048;169;4008,51;1,18;2004,26;2
Елец;817;13;195,77;-;-;-
Енбекшиказахский район;3324;14;87,63;-;-;-
Енисейск;90;1;19,7;-;-;-
Ереван;106;9;286,21;-;-;-
Ессентуки;2042;57;1702,56;-;-;-
Ефремов;411;8;134,43;-;-;-
Жамбылский район;1666;3;59,73;-;-;-
Жанаозен;5023;14;210,98;-;-;-
Жезказган;12665;63;593,53;-;-;-
Железногорск;757;15;205,29;-;-;-
Железногорск;705;9;73,62;11,11;73,62;1
Жигулёвск;515;0;0;-;-;-
Жуковский;1213;29;529,85;-;-;-
Забайкальский край (более точно регион не определён);1887;41;822,09;-;-;-
Зарайск;162;6;49,86;-;-;-
Заринск;102;0;0;-;-;-
Звенигород;484;12;213,97;-;-;-
Зеленогорск;477;10;102,06;-;-;-
Зеленоград;1152;33;595,87;-;-;-
Зеленоградск;439;12;398,33;8,33;398,33;1
Златоуст;1020;29;595,7;-;-;-
